predictor	index_bits	hist_bits	bench	cycles	inst	ipc	branches	mispredicts
bht2	5	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	5	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	5	-	ubmark-bin-search	1410	1159	0.821986	276	56
bht2	5	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
bht2	6	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	6	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	6	-	ubmark-bin-search	1412	1159	0.820822	276	57
bht2	6	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
bht2	7	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	7	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	7	-	ubmark-bin-search	1412	1159	0.820822	276	57
bht2	7	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
bht2	8	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	8	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	8	-	ubmark-bin-search	1412	1159	0.820822	276	57
bht2	8	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
bht2	9	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	9	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	9	-	ubmark-bin-search	1412	1159	0.820822	276	57
bht2	9	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
bht2	10	-	ubmark-vvadd	1861	1845	0.991402	400	7
bht2	10	-	ubmark-cmplx-mult	3562	3247	0.911567	600	6
bht2	10	-	ubmark-bin-search	1412	1159	0.820822	276	57
bht2	10	-	ubmark-masked-filter	9539	8797	0.922214	1868	82
gshare	6	4	ubmark-vvadd	1885	1845	0.978780	400	19
gshare	6	4	ubmark-cmplx-mult	3580	3247	0.906983	600	15
gshare	6	4	ubmark-bin-search	1438	1159	0.805981	276	70
gshare	6	4	ubmark-masked-filter	9539	8797	0.922214	1868	82
gshare	6	8	ubmark-vvadd	1895	1845	0.973615	400	24
gshare	6	8	ubmark-cmplx-mult	3590	3247	0.904457	600	20
gshare	6	8	ubmark-bin-search	1448	1159	0.800414	276	75
gshare	6	8	ubmark-masked-filter	9563	8797	0.919900	1868	94
gshare	6	12	ubmark-vvadd	1895	1845	0.973615	400	24
gshare	6	12	ubmark-cmplx-mult	3590	3247	0.904457	600	20
gshare	6	12	ubmark-bin-search	1448	1159	0.800414	276	75
gshare	6	12	ubmark-masked-filter	9563	8797	0.919900	1868	94
gshare	8	4	ubmark-vvadd	1885	1845	0.978780	400	19
gshare	8	4	ubmark-cmplx-mult	3580	3247	0.906983	600	15
gshare	8	4	ubmark-bin-search	1442	1159	0.803745	276	72
gshare	8	4	ubmark-masked-filter	9541	8797	0.922021	1868	83
gshare	8	8	ubmark-vvadd	1909	1845	0.966475	400	31
gshare	8	8	ubmark-cmplx-mult	3600	3247	0.901944	600	25
gshare	8	8	ubmark-bin-search	1486	1159	0.779946	276	94
gshare	8	8	ubmark-masked-filter	9545	8797	0.921634	1868	85
gshare	8	12	ubmark-vvadd	1909	1845	0.966475	400	31
gshare	8	12	ubmark-cmplx-mult	3600	3247	0.901944	600	25
gshare	8	12	ubmark-bin-search	1486	1159	0.779946	276	94
gshare	8	12	ubmark-masked-filter	9545	8797	0.921634	1868	85
gshare	10	4	ubmark-vvadd	1885	1845	0.978780	400	19
gshare	10	4	ubmark-cmplx-mult	3580	3247	0.906983	600	15
gshare	10	4	ubmark-bin-search	1442	1159	0.803745	276	72
gshare	10	4	ubmark-masked-filter	9541	8797	0.922021	1868	83
gshare	10	8	ubmark-vvadd	1909	1845	0.966475	400	31
gshare	10	8	ubmark-cmplx-mult	3600	3247	0.901944	600	25
gshare	10	8	ubmark-bin-search	1486	1159	0.779946	276	94
gshare	10	8	ubmark-masked-filter	9545	8797	0.921634	1868	85
gshare	10	12	ubmark-vvadd	1921	1845	0.960437	400	37
gshare	10	12	ubmark-cmplx-mult	3608	3247	0.899945	600	29
gshare	10	12	ubmark-bin-search	1504	1159	0.770612	276	103
gshare	10	12	ubmark-masked-filter	9581	8797	0.918171	1868	103
